0100:002:221021:124451:0353:001:H:100:0008:                :00+00000+000000000
0100:002:221021:124451:0353:002:S:100:0003:   6941639819486+00010010*000002899
0100:002:221021:124451:0353:003:W:100:0000:   6941639819486:00000000+000000000
0100:002:221021:124456:0353:004:S:100:0027:   7702025134885+00010010*000000175
0100:002:221021:124456:0353:005:W:100:0000:   7702025134885:00000000+000000000
0100:002:221021:124458:0353:006:S:100:0027:   7702025134885+00010010*000000175
0100:002:221021:124458:0353:007:W:100:0000:   7702025134885:00000000+000000000
0100:002:221021:124506:0353:008:S:100:0024:   7861076256769+00010010*000000397
0100:002:221021:124506:0353:009:W:100:0000:   7861076256769:00000000+000000000
0100:002:221021:124507:0353:010:S:100:0024:   7861076256738+00010010*000000397
0100:002:221021:124507:0353:011:W:100:0000:   7861076256738:00000000+000000000
0100:002:221021:124542:0353:012:V:101:0008:           00.0%:00+00005+000004043
0100:002:221021:124542:0353:013:V:100:0008:           00.0%:00+00005+000000000
0100:002:221021:124542:0353:014:T:110:0008:            0005:12+00001+000004043
0100:002:221021:124542:0353:015:F:100:0008:                :00+00005+000004043
0100:002:221021:124554:0354:001:H:100:0008:                :00+00000+000000000
0100:002:221021:124554:0354:002:P:101:0010:        00000000:00+00000+000000000
0100:002:221021:124556:0354:003:S:100:0069:           42676+00010010*000002090
0100:002:221021:124556:0354:004:W:100:0000:           42676:00000000+000000000
0100:002:221021:124600:0354:005:S:100:0024:   7501438371227+00010010*000001315
0100:002:221021:124600:0354:006:W:100:0000:   7501438371227:00000000+000000000
0100:002:221021:124604:0354:007:S:100:0016:           41855+00010010*000002650
0100:002:221021:124604:0354:008:W:100:0000:           41855:00000000+000000000
0100:002:221021:124612:0354:009:S:100:0016:           41855+00010010*000002650
0100:002:221021:124612:0354:010:W:100:0000:           41855:00000000+000000000
0100:002:221021:124631:0354:011:V:101:0008:           00.0%:00+00004+000008705
0100:002:221021:124631:0354:012:V:100:0008:           00.0%:00+00004+000000000
0100:002:221021:124631:0354:013:T:110:0008:                :01+00001+000010005
0100:002:221021:124631:0354:014:T:114:0008:                :01+00001-000001300
0100:002:221021:124631:0354:015:F:100:0008:                :00+00004+000008705
0100:002:221021:124721:0355:001:H:100:0008:                :00+00000+000000000
0100:002:221021:124721:0355:002:S:100:0004:       114122756+00010010*000002997
0100:002:221021:124721:0355:003:W:100:0000:       114122756:00000000+000000000
0100:002:221021:124722:0355:004:S:100:0004:       114122756+00010010*000002997
